Coin,Platform,Category,Interest Rate
Bitcoin,Ledn,Wallet,10.1
Ethereum,Ledn,Wallet,10.4
Cardano,YouHodler,Wallet,6.18
Binance Coin,Nexo,Wallet,8
Tether,YouHodler,Wallet,13.07
XRP,StormGain,Exchange,10
Dogecoin,YouHodler,Wallet,3.04
USD Coin,YouHodler,Wallet,12.73
Polkadot,CoinDCX,Exchange,5.48
Bitcoin Cash,StormGain,Exchange,10
Binance USD,Coinloan,Wallet,12.3
Chainlink,Nexo,Wallet,8
Litecoin,StormGain,Exchange,10
Wrapped Bitcoin,Compound Finance,DeFi,0.45
Stellar,StormGain,Exchange,10
Ethereum Classic,Bitfinex,Exchange,1.1
TRON,Nexo,Wallet,8
Dai,YouHodler,Wallet,12.73
Aave,Compound Finance,DeFi,0.83
EOS,Nexo,Wallet,8
Monero,Coinloan,Wallet,7.2
Neo,CoinDCX,Exchange,2.92
Maker,Crypto.com,Wallet,3
BitTorrent,CoinDCX,Exchange,1.46
Bitcoin SV,YouHodler,Wallet,4.6
Huobi Token,YouHodler,Wallet,3.04
Dash,StormGain,Exchange,10
Zcash,StormGain,Exchange,10
SushiSwap,YouHodler,Wallet,7.24
Decentraland,Aave,DeFi,0.03
yearn.finance,YouHodler,Wallet,4.6
Synthetix,YouHodler,Wallet,6.18
TrueUSD,YouHodler,Wallet,12.73
Basic Attention Token,YouHodler,Wallet,3.04
Bancor,YouHodler,Wallet,3.04
Paxos Standard,YouHodler,Wallet,12.73
0x,YouHodler,Wallet,4.6
OMG Network,YouHodler,Wallet,3.04
HUSD,YouHodler,Wallet,12.73
Neutrino USD,Waves Exchange,Exchange,8.97
PAX Gold,YouHodler,Wallet,8.54
Augur,YouHodler,Wallet,2.52
Cartesi,Binance,Exchange,30
Gemini Dollar,BlockFi,Wallet,8.6
Kyber Network Crystal v2,Aave,DeFi,0.14
sUSD,Aave,DeFi,2.5
MCO,Crypto.com,Wallet,3
STASIS EURO,YouHodler,Wallet,12.73
Dego Finance,Binance,Exchange,24
VITE,Binance,Exchange,16
UNICORN Token,YouHodler,Wallet,7.24
Compound Coin,YouHodler,Wallet,2.52
